Date,Open,High,Low,Close,Adj Close,Volume
2018-07-18,430.19000199999994,432.700012,426.76998899999995,431.549988,431.549988,699700
2018-07-19,431.94000199999994,433.55999800000006,425.329987,425.98999000000003,425.98999000000003,536600
2018-07-20,427.0,429.77999900000003,422.32000700000003,423.48001100000005,423.48001100000005,712700
2018-07-23,423.5,431.660004,418.209991,430.89999400000005,430.89999400000005,527800
2018-07-24,434.0,436.420013,419.410004,423.410004,423.410004,555300
2018-07-25,423.799988,431.82000700000003,422.700012,430.64001500000006,430.64001500000006,621700
2018-07-26,414.869995,415.0,360.22000099999997,384.209991,384.209991,1949200
2018-07-27,390.52999900000003,392.0,366.109985,369.170013,369.170013,1003700
2018-07-30,365.910004,366.339996,351.130005,356.420013,356.420013,1112600
2018-07-31,358.399994,363.959991,344.109985,354.52999900000003,354.52999900000003,1149600
2018-08-01,353.100006,368.5,351.76001,363.190002,363.190002,821900
2018-08-02,361.019989,373.089996,358.0,372.200012,372.200012,781000
2018-08-03,393.72000099999997,396.97000099999997,371.390015,377.109985,377.109985,1019900
2018-08-06,376.160004,382.640015,374.170013,378.559998,378.559998,519000
2018-08-07,378.940002,382.27999900000003,372.890015,376.399994,376.399994,478100
2018-08-08,376.420013,380.309998,371.209991,376.01001,376.01001,440300
2018-08-09,377.0,386.579987,377.0,380.75,380.75,364000
2018-08-10,379.459991,387.790009,377.109985,377.829987,377.829987,378800
2018-08-13,377.670013,383.549988,367.679993,368.0,368.0,379100
2018-08-14,368.420013,372.369995,361.869995,371.25,371.25,427100
2018-08-15,367.359985,369.730011,353.670013,363.589996,363.589996,495700
2018-08-16,364.920013,369.51001,357.440002,368.97000099999997,368.97000099999997,455500
2018-08-17,369.160004,370.230011,354.519989,358.820007,358.820007,445600
2018-08-20,358.269989,364.440002,354.519989,362.480011,362.480011,424500
2018-08-21,364.070007,369.98999,361.959991,364.119995,364.119995,402700
2018-08-22,362.109985,371.420013,362.109985,368.380005,368.380005,293200
2018-08-23,368.570007,378.920013,368.570007,376.929993,376.929993,424600
2018-08-24,378.070007,384.440002,376.600006,381.02999900000003,381.02999900000003,426500
